id,homotypic_name_id,scientific_name,authorship,rank,uninomial,genus,infrageneric_epithet,specific_epithet,infraspecific_epithet,cultivar_epithet,strain,candidatus,notho,basionym_authors,basionym_ex_authors,basionym_year,combination_authors,combination_ex_authors,combination_year,sanctioning_author,code,nom_status,type
41655600,41655600,Diadematoida,,order,Diadematoida,,,,,,,f,,{},{},,{},{},,,,,0
41650191,41650191,Dipentodontaceae,,family,Dipentodontaceae,,,,,,,f,,{},{},,{},{},,,,,0
41655676,41655676,Progonocimicidae,,family,Progonocimicidae,,,,,,,f,,{},{},,{},{},,,,,0
41653822,41653822,Pulsiidae,,family,Pulsiidae,,,,,,,f,,{},{},,{},{},,,,,0
41650426,41650426,Engraulidae,,family,Engraulidae,,,,,,,f,,{},{},,{},{},,,,,0
41649410,41649410,Myctophiformes,,order,Myctophiformes,,,,,,,f,,{},{},,{},{},,,,,0
41653076,41653076,Catillicephalidae,,family,Catillicephalidae,,,,,,,f,,{},{},,{},{},,,,,0
41651155,41651155,Onuphidae,,family,Onuphidae,,,,,,,f,,{},{},,{},{},,,,,0
41644139,41644139,Tampiyidae,,family,Tampiyidae,,,,,,,f,,{},{},,{},{},,,,,0
41651995,41651995,Hyaloriaceae,,family,Hyaloriaceae,,,,,,,f,,{},{},,{},{},,,,,0
41655031,41655031,Edwardsioidea,,superfamily,Edwardsioidea,,,,,,,f,,{},{},,{},{},,,,,0
41649712,41649712,Anchorophoridae,,family,Anchorophoridae,,,,,,,f,,{},{},,{},{},,,,,0
41651774,41651774,Mephitidae,,family,Mephitidae,,,,,,,f,,{},{},,{},{},,,,,0
41648865,41648865,Metacystidae,,family,Metacystidae,,,,,,,f,,{},{},,{},{},,,,,0
41643407,41643407,Annulariidae,,family,Annulariidae,,,,,,,f,,{},{},,{},{},,,,,0
41653976,41653976,Cyrtinoidea,,superfamily,Cyrtinoidea,,,,,,,f,,{},{},,{},{},,,,,0
41651988,41651988,Holtermanniaceae,,family,Holtermanniaceae,,,,,,,f,,{},{},,{},{},,,,,0
41649449,41649449,Synchaetidae,,family,Synchaetidae,,,,,,,f,,{},{},,{},{},,,,,0
