person	relation	other	source
wd:Q658307	PARENT	wd:Q264482	wikidata
wd:Q66317644	PARENT	wd:Q21516712	wikidata
wd:Q66720	PARENT	wd:Q68246	wikidata
wd:Q66910	PARENT	wd:Q21517319	wikidata
wd:Q670050	PARENT	wd:Q510424	wikidata
wd:Q67442	SIBLING	wd:Q86003	wikidata
wd:Q68023	SIBLING	wd:Q69687	wikidata
wd:Q68246	PARENT	wd:Q67700	wikidata
wd:Q69554	PARENT	wd:Q1506633	wikidata
wd:Q70854	SIBLING	wd:Q73601	wikidata
wd:Q71571	SIBLING	wd:Q73236	wikidata
wd:Q716978	PARENT	wd:Q957115	wikidata
wd:Q71825	PARENT	wd:Q71571	wikidata
wd:Q73824	PARENT	wd:Q1870088	wikidata
wd:Q73990	PARENT	wd:Q442937	wikidata
wd:Q740096	PARENT	wd:Q350198	wikidata
wd:Q75908	PARENT	wd:Q73100	wikidata
wd:Q75987	SIBLING	wd:Q86827	wikidata
wd:Q76004	PARENT	wd:Q67908	wikidata
wd:Q76348	SIBLING	wd:Q76349	wikidata
wd:Q766431	PARENT	wd:Q433043	wikidata
wd:Q76733	PARENT	wd:Q32355	wikidata
wd:Q77131	PARENT	wd:Q21520050	wikidata
wd:Q77458	PARENT	wd:Q90016	wikidata
wd:Q78738	PARENT	wd:Q86481	wikidata
wd:Q78745	PARENT	wd:Q78881	wikidata
wd:Q78990	PARENT	wd:Q84497	wikidata
wd:Q79012	SIBLING	wd:Q938823	wikidata
wd:Q8201022	PARENT	wd:Q62829	wikidata
wd:Q83534	PARENT	wd:Q1376182	wikidata
wd:Q85427	SIBLING	wd:Q89508	wikidata
wd:Q86471	PARENT	wd:Q78599	wikidata
wd:Q9021552	PARENT	wd:Q1243201	wikidata
wd:Q9053109	PARENT	wd:Q5700152	wikidata
wd:Q9176758	PARENT	wd:Q129939	wikidata
wd:Q924540	PARENT	wd:Q365301	wikidata
wd:Q936580	PARENT	wd:Q3143271	wikidata
wd:Q947320	PARENT	wd:Q774744	wikidata
wd:Q94804183	PARENT	wd:Q19513606	wikidata
wd:Q970135	PARENT	wd:Q3381015	wikidata
wd:Q977692	PARENT	wd:Q976009	wikidata
wd:Q98258	PARENT	wd:Q66324	wikidata
wd:Q98686	PARENT	wd:Q86176	wikidata
