person	form	kind	code	source
ipni:20079565-1	Christine Foster	FULL	ANY	ipni
ipni:20079566-1	Edler	STANDARD	BOT	ipni
ipni:20079566-1	C. Edler	FULL	ANY	ipni
ipni:20079567-1	C.Cui	STANDARD	BOT	ipni
ipni:20079567-1	C. Cui	FULL	ANY	ipni
ipni:20079568-1	Conforto	STANDARD	BOT	ipni
ipni:20079568-1	C. Conforto	FULL	ANY	ipni
ipni:20079569-1	C.Cheng	STANDARD	BOT	ipni
ipni:20079569-1	Chi Cheng	FULL	ANY	ipni
ipni:20079570-1	Burr.-Aguilar	STANDARD	BOT	ipni
ipni:20079570-1	Cristina Burrola-Aguilar	FULL	ANY	ipni
ipni:20079571-1	Billette	STANDARD	BOT	ipni
ipni:20079571-1	C. Billette	FULL	ANY	ipni
ipni:20079572-1	C.Ahn	STANDARD	BOT	ipni
ipni:20079572-1	Chorong Ahn	FULL	ANY	ipni
ipni:20079572-1	Cho Rong Ahn	VARIANT	ANY	ipni
ipni:20079573-1	Burenb.	STANDARD	BOT	ipni
ipni:20079573-1	G. Burenbaatar	FULL	ANY	ipni
ipni:20079574-1	Bujanda	STANDARD	BOT	ipni
ipni:20079574-1	R. Bujanda	FULL	ANY	ipni
ipni:20079576-1	Broadbr.	STANDARD	BOT	ipni
ipni:20079576-1	Jasmin Broadbridge	FULL	ANY	ipni
ipni:20079577-1	S.R.Brinker	STANDARD	BOT	ipni
ipni:20079577-1	S.R. Brinker	FULL	ANY	ipni
ipni:20079578-1	Brien	STANDARD	BOT	ipni
ipni:20079578-1	Y. Brien	FULL	ANY	ipni
ipni:20079579-1	Braconc.	STANDARD	BOT	ipni
ipni:20079579-1	M. Braconcini	FULL	ANY	ipni
ipni:20079580-1	Bozok	STANDARD	BOT	ipni
ipni:20079580-1	F. Bozok	FULL	ANY	ipni
ipni:20079581-1	Boxshall	STANDARD	BOT	ipni
ipni:20079581-1	A.-G. Boxshall	FULL	ANY	ipni
ipni:20079582-1	Bowling	STANDARD	BOT	ipni
ipni:20079582-1	J. Bowling	FULL	ANY	ipni
